Market Year,Production
1960,99241
1961,91389
1962,91605
1963,102093
1964,88504
1965,104218
1966,105862
1967,123459
1968,113024
1969,119057
1970,105472
1971,143422
1972,141734
1973,144043
1974,119421
1975,148362
1976,159752
1977,165236
1978,184614
1979,201384
1980,168648
1981,206223
1982,209181
1983,106031
1984,194881
1985,225447
1986,208944
1987,181143
1988,125194
1989,191320
1990,201534
1991,189868
1992,240719
1993,160986
1994,255295
1995,187970
1996,234518
1997,233864
1998,247882
1999,239549
2000,251854
2001,241377
2002,227767
2003,256229
2004,299876
2005,282263
2006,267503
2007,331177
2008,305911
2009,331921
2010,315618
2011,312789
2012,273192
2013,351316
2014,361136
2015,345506
2016,384778
2017,371096
2018,364262
2019,345962
2020,360252
2021,380764
