Year,Total,Average
1960,59.03,4.92
1961,40.06,3.34
1962,46.59,3.88
1963,53.03,4.42
1964,62.76,5.23
1965,36.13,3.01
1966,60.25,5.02
1967,34.58,2.88
1968,58.17,4.85
1969,50.22,4.19
1970,33.4,2.78
1971,46.23,3.85
1972,53.94,4.50
1973,44.23,3.69
1974,47.21,3.93
1975,45.19,3.77
1976,52.32,4.36
1977,40.67,3.39
1978,53.94,4.50
1979,69.02,5.75
1980,37.36,3.11
1981,39.68,3.31
1982,50.18,4.18
1983,73.99,6.17
1984,46.71,3.89
1985,45.38,3.78
1986,48.01,4.00
1987,45.72,3.81
1988,40.91,3.41
1989,44.65,3.72
1990,36.12,3.01
1991,67.19,5.60
1992,46.41,3.87
1993,35.71,2.98
1994,66.64,5.55
1995,54.44,4.54
1996,60.49,5.04
1997,54.69,4.56
1998,40.51,3.38
1999,46.73,3.89
2000,40.16,3.35
2001,58.27,4.86
2002,59.94,5.00
2003,57.3,4.78
2004,62.97,5.25
2005,65.77,5.48
2006,31.36,2.61
2007,45.02,3.75
2008,42.67,3.56
2009,50.3,4.19
2010,39.39,3.28
2011,47.43,3.95
2012,40.92,3.41
2013,56.82,4.74
2014,77.76,6.48
2015,47.09,3.92
2016,44.64,3.72
2017,49.97,4.16
2018,63.54,5.30
2019,58.97,4.91
2020,46.68,3.89
