Year,Total,Average
1960,59.45,4.95
1961,38.15,3.18
1962,43.9,3.66
1963,54.66,4.56
1964,65.03,5.42
1965,52.47,4.37
1966,55.3,4.61
1967,49.68,4.14
1968,53.72,4.48
1969,67.26,5.61
1970,56.55,4.71
1971,53.69,4.47
1972,57.29,4.77
1973,70.57,5.88
1974,48.52,4.04
1975,50.15,4.18
1976,50.87,4.24
1977,39.56,3.30
1978,43.04,3.59
1979,61.76,5.15
1980,39.53,3.29
1981,35.77,2.98
1982,51.52,4.29
1983,62.19,5.18
1984,48.96,4.08
1985,58.39,4.87
1986,44.1,3.68
1987,43.39,3.62
1988,60.68,5.06
1989,51.45,4.29
1990,31.2,2.60
1991,79.63,6.64
1992,63.18,5.27
1993,50.12,4.18
1994,67.26,5.61
1995,50.25,4.19
1996,60.63,5.05
1997,57.27,4.77
1998,56.72,4.73
1999,42.44,3.54
2000,39.77,3.31
2001,49.14,4.10
2002,54.72,4.56
2003,44.47,3.71
2004,69.47,5.79
2005,64.45,5.37
2006,38.07,3.17
2007,46.01,3.83
2008,57.18,4.77
2009,59.2,4.93
2010,33.4,2.78
2011,47.96,4.00
2012,53.44,4.45
2013,45.24,3.77
2014,55.49,4.62
2015,44.54,3.71
2016,38.52,3.21
2017,70.31,5.86
2018,59.84,4.99
2019,46.33,3.86
2020,57.01,4.75
