Market Year,Production
1965,543
1966,618
1967,582
1968,544
1969,521
1970,569
1971,575
1972,766
1973,613
1974,1014
1975,608
1976,896
1977,899
1978,676
1979,716
1980,1079
1981,855
1982,862
1983,715
1984,877
1985,628
1986,986
1987,712
1988,689
1989,640
1990,652
1991,695
1992,855
1993,893
1994,814
1995,900
1996,873
1997,814
1998,678
1999,762
2000,904
2001,727
2002,931
2003,724
2004,789
2005,889
2006,724
2007,562
2008,827
2009,800
2010,835
2011,771
2012,827
2013,748
2014,820
2015,820
2016,800
2017,806
2018,909
2019,998
2020,940
