Market Year,Production
1960,16741
1961,14665
1962,14692
1963,14014
1964,12371
1965,13499
1966,11656
1967,11525
1968,13804
1969,14019
1970,13285
1971,12745
1972,10024
1973,9567
1974,8718
1975,9274
1976,7844
1977,10926
1978,8443
1979,7646
1980,6659
1981,7396
1982,8602
1983,6916
1984,6875
1985,7526
1986,5588
1987,5424
1988,3155
1989,5423
1990,5191
1991,3539
1992,4271
1993,3001
1994,3322
1995,2338
1996,2224
1997,2428
1998,2406
1999,2114
2000,2165
2001,1707
2002,1684
2003,2096
2004,1679
2005,1667
2006,1357
2007,1313
2008,1307
2009,1321
2010,1188
2011,728
2012,892
2013,938
2014,1019
2015,1298
2016,938
2017,720
2018,815
2019,773
2020,949
2021,769
