Market Year,Production
1965,5452
1966,7393
1967,5115
1968,7348
1969,7491
1970,7648
1971,7689
1972,9042
1973,8732
1974,9507
1975,9744
1976,9722
1977,8860
1978,8502
1979,10979
1980,9661
1981,7025
1982,8827
1983,6689
1984,6228
1985,6903
1986,7122
1987,7903
1988,8272
1989,7083
1990,7222
1991,8178
1992,10074
1993,9419
1994,10474
1995,10453
1996,11618
1997,12495
1998,8989
1999,11875
2000,11139
2001,11290
2002,10527
2003,11734
2004,8419
2005,8212
2006,6917
2007,9141
2008,8281
2009,7478
2010,8078
2011,8166
2012,7501
2013,6140
2014,5763
2015,5523
2016,4616
2017,3515
2018,4923
2019,4733
2020,4113
