Year,Total,Average
1960,68.58,5.72
1961,41.1,3.43
1962,50.35,4.20
1963,45.28,3.77
1964,54.39,4.53
1965,47.4,3.95
1966,55.29,4.61
1967,40.91,3.41
1968,52.1,4.34
1969,55.18,4.60
1970,43.96,3.66
1971,40.09,3.34
1972,51.35,4.28
1973,55.37,4.61
1974,44.38,3.70
1975,47.04,3.92
1976,47.08,3.92
1977,38.12,3.18
1978,50.59,4.22
1979,50.23,4.19
1980,41.21,3.43
1981,47.1,3.93
1982,51.61,4.30
1983,55.52,4.63
1984,44.44,3.70
1985,47.19,3.93
1986,49.83,4.15
1987,56.79,4.73
1988,52.49,4.37
1989,45.66,3.81
1990,31.68,2.64
1991,60.9,5.08
1992,52.96,4.41
1993,44.53,3.71
1994,67.85,5.65
1995,43.05,3.59
1996,56.66,4.72
1997,64.51,5.38
1998,43.75,3.65
1999,55.31,4.61
2000,30.38,2.53
2001,54.92,4.58
2002,66.39,5.53
2003,52.68,4.39
2004,59.24,4.94
2005,60.51,5.04
2006,36.35,3.03
2007,38.49,3.21
2008,53.8,4.48
2009,51.48,4.29
2010,45.72,3.81
2011,56.88,4.74
2012,41.09,3.42
2013,42.74,3.56
2014,55.4,4.62
2015,54.08,4.51
2016,54.3,4.53
2017,46.62,3.89
2018,51.55,4.30
2019,47.99,4.00
2020,53.25,4.44
