Year,Total,Average
1960,71.51,5.96
1961,75.31,6.28
1962,49.54,4.13
1963,61.4,5.12
1964,72.12,6.01
1965,50.85,4.24
1966,52.79,4.40
1967,63.61,5.30
1968,41.2,3.43
1969,68.36,5.70
1970,67.96,5.66
1971,44.57,3.71
1972,51.52,4.29
1973,72.42,6.04
1974,48.18,4.02
1975,81.5,6.79
1976,71.24,5.94
1977,42.4,3.53
1978,76.2,6.35
1979,79.62,6.64
1980,50.28,4.19
1981,39.37,3.28
1982,58.51,4.88
1983,78.28,6.52
1984,51.63,4.30
1985,69.34,5.78
1986,68.55,5.71
1987,68.69,5.72
1988,77.31,6.44
1989,69.95,5.83
1990,51.56,4.30
1991,73,6.08
1992,76.59,6.38
1993,61.33,5.11
1994,75.75,6.31
1995,85.81,7.15
1996,66.75,5.56
1997,80.45,6.70
1998,68.63,5.72
1999,47.07,3.92
2000,42.37,3.53
2001,47.53,3.96
2002,63.84,5.32
2003,63.89,5.32
2004,69.55,5.80
2005,87.32,7.28
2006,45.26,3.77
2007,57.74,4.81
2008,56.69,4.72
2009,88.3,7.36
2010,62.96,5.25
2011,48.68,4.06
2012,66.63,5.55
2013,74.63,6.22
2014,83.19,6.93
2015,75.68,6.31
2016,X,0.00
2017,91.91,7.66
2018,90.01,7.50
2019,52.56,4.38
2020,76.47,6.37
