Year,Total,Average
1960,67.05,5.59
1961,47.09,3.92
1962,52.99,4.42
1963,61,5.08
1964,104.18,8.68
1965,78.79,6.57
1966,75.06,6.26
1967,56.92,4.74
1968,50.72,4.23
1969,74.52,6.21
1970,75.47,6.29
1971,58.27,4.86
1972,66.06,5.51
1973,87.8,7.32
1974,59.43,4.95
1975,85.93,7.16
1976,77.02,6.42
1977,58.31,4.86
1978,61.29,5.11
1979,80.45,6.70
1980,65.09,5.42
1981,50.64,4.22
1982,60.04,5.00
1983,66.86,5.57
1984,56.2,4.68
1985,62.93,5.24
1986,71.78,5.98
1987,67.82,5.65
1988,48.46,4.04
1989,63.59,5.30
1990,45.73,3.81
1991,72.25,6.02
1992,62.78,5.23
1993,51.93,4.33
1994,85.4,7.12
1995,52.4,4.37
1996,56.72,4.73
1997,64.25,5.35
1998,58.83,4.90
1999,50.07,4.17
2000,44.51,3.71
2001,63.45,5.29
2002,56.4,4.70
2003,65.3,5.44
2004,56.83,4.74
2005,68.28,5.69
2006,49.34,4.11
2007,44.47,3.71
2008,60.37,5.03
2009,58.11,4.84
2010,58.54,4.88
2011,34.81,2.90
2012,59.31,4.94
2013,66.81,5.57
2014,68.48,5.71
2015,54.38,4.53
2016,59.82,4.99
2017,55.19,4.60
2018,79.86,6.66
2019,39.05,3.25
2020,60.81,5.07
