Year,Total,Average
1960,64.35,5.36
1961,35.04,2.92
1962,41.62,3.47
1963,43.41,3.62
1964,57.92,4.83
1965,42.78,3.57
1966,36.05,3.00
1967,39.36,3.28
1968,39.35,3.28
1969,54.22,4.52
1970,38.27,3.19
1971,46.33,3.86
1972,42.18,3.52
1973,49.71,4.14
1974,33.9,2.83
1975,43.44,3.62
1976,42.29,3.52
1977,31.47,2.62
1978,39.85,3.32
1979,66.46,5.54
1980,40.6,3.38
1981,38.64,3.22
1982,55.81,4.65
1983,60.87,5.07
1984,32.31,2.69
1985,44.6,3.72
1986,41.6,3.47
1987,49.08,4.09
1988,52.33,4.36
1989,43.63,3.64
1990,34.39,2.87
1991,43.16,3.60
1992,34.98,2.92
1993,37.53,3.13
1994,47.23,3.94
1995,54.13,4.51
1996,49.41,4.12
1997,67.71,5.64
1998,55.35,4.61
1999,34.84,2.90
2000,29.85,2.49
2001,39.75,3.31
2002,62.07,5.17
2003,51.99,4.33
2004,59.31,4.94
2005,38.95,3.25
2006,56.61,4.72
2007,41.99,3.50
2008,43.77,3.65
2009,45.87,3.82
2010,40.34,3.36
2011,53.22,4.44
2012,55.99,4.67
2013,52.52,4.38
2014,57.91,4.83
2015,63.5,5.29
2016,52.56,4.38
2017,44.32,3.69
2018,61.48,5.12
2019,60.76,5.06
2020,46.85,3.90
