Market Year,Production
1965,224
1966,275
1967,217
1968,252
1969,274
1970,323
1971,347
1972,329
1973,342
1974,399
1975,439
1976,422
1977,407
1978,386
1979,511
1980,417
1981,469
1982,385
1983,336
1984,322
1985,298
1986,370
1987,369
1988,372
1989,269
1990,259
1991,342
1992,348
1993,425
1994,389
1995,416
1996,547
1997,443
1998,401
1999,505
2000,425
2001,469
2002,442
2003,419
2004,367
2005,435
2006,378
2007,540
2008,449
2009,578
2010,643
2011,635
2012,660
2013,700
2014,810
2015,861
2016,933
2017,729
2018,1004
2019,842
2020,882
