Market Year,Production
1960,36877
1961,33557
1962,29719
1963,31216
1964,34917
1965,34917
1966,35788
1967,41014
1968,42375
1969,39272
1970,36795
1971,44052
1972,42081
1973,46560
1974,48496
1975,57885
1976,58480
1977,55670
1978,48322
1979,58080
1980,64798
1981,75805
1982,75250
1983,65857
1984,70618
1985,65974
1986,56896
1987,57362
1988,49320
1989,55428
1990,74292
1991,53891
1992,67135
1993,65220
1994,63167
1995,59404
1996,61980
1997,67534
1998,69327
1999,62475
2000,60641
2001,53001
2002,43705
2003,63805
2004,58698
2005,57243
2006,49217
2007,55821
2008,68363
2009,60117
2010,58868
2011,54244
2012,61298
2013,58105
2014,55147
2015,56117
2016,62832
2017,47380
2018,51306
2019,52581
2020,49691
2021,50948
